Year,Region,State for Tableau,Eggs,"Food prep. by consumer unit, out-of-town trips","Meats, poultry, fish, and eggs",Bakery products,Beef,Cereals and bakery products,Cereals and cereal products,Dairy products,Fats and oils,Fish and seafood,Food away from home,Food at home,Food,Fresh vegetables,Fresh fruits,Fruits and vegetables,Fresh milk and cream,Miscellaneous foods,Nonalcoholic beverages,Other dairy products,Other food at home,Other meats,Pork,Poultry,Processed fruits,Processed vegetables,Sugar and other sweets,Alcoholic beverages
2001,northeast,New York,54.51340550029257,57.46007606787594,1383.461831480398,489.1473142188414,371.2804915155061,752.8743300175541,263.72701579871267,552.5007314218842,135.54684610883558,226.89363370392044,3387.197817437097,5007.866629607957,8393.591111761265,269.6203569338794,281.407039204213,895.7878525453481,206.26693973083675,670.3675541252194,386.01384435342317,346.23379169104743,1423.2418841427734,187.1135810415448,266.67368636629607,278.4603686366296,204.79360444704503,138.49351667641895,173.85356348741954,568.7074195435928
2001,midwest,Iowa,41.253387946167344,54.51340550029257,1060.8014043300177,422.8472264482154,341.8137858396724,640.9008484493856,218.05362200117028,483.2539730836747,114.92015213575188,122.28682855471035,3182.404212990053,4260.885640725572,7443.2898537156225,197.42692802808662,216.58028671737858,676.2608952603863,198.90026331187832,677.7342305441779,384.54050906963136,284.3537097717964,1401.1418548858985,139.96685196021065,234.26031012287888,182.69357519016967,150.28019894675248,113.44681685196022,167.96022235225274,509.77400819192513
2001,south,Florida,51.56673493270919,42.72672322995904,1246.4416500877705,419.900555880632,378.64716793446456,635.0075073142187,215.10695143358691,443.473920421299,132.60017554125218,156.17354008191924,3197.13756582797,4394.959151550615,7592.096717378585,219.52695728496198,206.26693973083675,710.147606787595,184.16691047396137,660.0542071386775,362.44047981275594,257.83367466354593,1359.888466939731,145.8601930953774,291.7203861907548,223.94696313633702,159.1202106495026,125.23349912229372,163.54021650087768,439.05391456992385
2001,west,California,60.40674663545935,81.03344060854299,1202.2415915740198,430.21390286717383,363.9138150965477,668.8942188414278,238.68031597425397,512.7206787595085,126.70683440608543,181.22023990637797,3485.911281451141,4689.626208308953,8175.537489760094,282.8803744880047,266.67368636629607,850.1144587478058,221.0002925687537,677.7342305441779,387.4871796372148,291.7203861907548,1455.6552603861908,138.49351667641895,237.20698069046227,219.52695728496198,184.16691047396137,116.39348741954359,182.69357519016967,589.3341135166764
2001,All,,51.56673493270919,55.986740784084255,1219.9216149795202,436.10724400234056,365.38715038033934,665.9475482738442,229.84030427150375,489.1473142188414,128.18016968987712,167.96022235225274,3292.9043592744288,4546.712685781158,7839.617045055588,238.68031597425397,235.73364540667058,769.0810181392627,200.37359859567002,670.3675541252194,377.1738326506729,288.77371562317137,1402.6151901696899,150.28019894675248,260.78034523112933,223.94696313633702,170.90689291983617,123.76016383850204,170.90689291983617,514.1940140433002
2000,northeast,New York,53.05692354003614,62.15239614689946,1338.5503853100545,494.18734497290785,375.9462010836845,744.3128416616496,248.60958458759785,536.6328838049369,134.91617700180618,225.87090307043948,3297.108819987959,4853.950547862733,8151.059367850693,278.9278266104757,274.380090307044,877.7131065623119,200.10039735099338,603.3330162552679,363.81890427453345,336.53248645394336,1356.741330523781,175.84580373269117,245.57776038531009,263.7687055990368,198.5844852498495,125.8207043949428,191.00492474413002,591.2057194461169
2000,midwest,Iowa,42.4455388320289,62.15239614689946,1092.9726249247442,442.64633353401564,342.596134858519,673.0649729078867,230.4186393738712,500.2509933774835,113.6934075857917,118.24114388922337,3519.947898856111,4446.170192655028,7966.118091511139,207.6799578567129,228.9027272727273,730.6696327513547,200.10039735099338,709.4468633353401,377.46211318482847,298.63468392534617,1450.727880794702,156.1389464178206,242.54593618302232,189.4890126429861,171.2980674292595,122.78888019265504,187.97310054184226,588.1738952438291
2000,south,Florida,54.57283564118002,43.96145093317279,1180.8955267910894,415.35991571342566,348.6597832630945,639.7149066827212,224.35499096929559,433.5508609271523,124.30479229379893,151.5912101143889,2881.7489042745337,4279.419861529199,7161.168765803733,210.7117820590006,213.74360626128842,712.478687537628,184.9412763395545,621.5239614689948,360.7870800722457,248.60958458759785,1314.295791691752,142.4957375075256,266.8005298013245,215.25951836243232,156.1389464178206,130.36844069837449,162.20259482239618,460.8372787477424
2000,west,California,57.604659843467786,83.3751655629139,1244.5638350391332,474.48048765803736,386.5575857916918,727.6378085490669,253.15732089102954,539.6647080072247,131.88435279951838,187.97310054184226,3463.8591511137874,4955.516658639373,8419.375809753159,288.02329921733894,297.1187718242022,897.4199638771825,219.80725466586395,733.7014569536424,419.90765201685736,319.8574533413607,1547.746255267911,142.4957375075256,248.60958458759785,221.32316676700782,186.4571884406984,127.3366164960867,177.36171583383504,680.6445334136063
2000,All,,51.54101143889224,60.63648404575558,1205.150120409392,450.2258940397352,360.7870800722457,686.7081818181819,236.48228777844673,492.67143287176407,125.8207043949428,166.7503311258278,3239.5041601444923,4579.570457555689,7819.074617700181,241.0300240818784,247.09367248645398,789.7902046959662,198.5844852498495,662.4535881998796,378.9780252859723,292.5710355207706,1405.2505177603855,153.10712221553283,253.15732089102954,219.80725466586395,174.32989163154727,127.3366164960867,177.36171583383504,563.9193016255267
